id,cod,destino,orden,color,negocio,recorrido,horarios,paradas,shapes,itinerario,codigo
477,E04,Av. La Florida,26,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Av. La Florida'},[{}],[],[],False,U3
1169,107,Av. Departamental,76,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
68,212,Mall Costanera Center,39,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Mall Costanera Center'},[{}],[],[],False,U2
34,117,(M) Vespucio Norte,7,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Vespucio Norte'},[{}],[],[],False,U1
1168,103,Providencia,7,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Providencia'},[{}],[],[],False,U12
627,H14,Mall Florida Center,30,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Florida Center'},[{}],[],[],False,U3
34,117,(M) Vespucio Norte,8,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Vespucio Norte'},[{}],[],[],False,U1
826,108,La Florida,76,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
68,212,Mall Costanera Center,40,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Mall Costanera Center'},[{}],[],[],False,U2
1169,107,Av. Departamental,77,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
1275,102,San Carlos Oriente,38,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
1168,103,Providencia,8,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Providencia'},[{}],[],[],False,U12
477,E04,Av. La Florida,27,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Av. La Florida'},[{}],[],[],False,U3
1169,107,Av. Departamental,78,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
1275,102,San Carlos Oriente,39,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
826,108,La Florida,77,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
627,H14,Mall Florida Center,31,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Florida Center'},[{}],[],[],False,U3
34,117,(M) Vespucio Norte,9,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Vespucio Norte'},[{}],[],[],False,U1
765,329,Mall Florida Center,58,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Florida Center'},[{}],[],[],False,U3
477,E04,Av. La Florida,28,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Av. La Florida'},[{}],[],[],False,U3
68,212,Mall Costanera Center,41,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Mall Costanera Center'},[{}],[],[],False,U2
1168,103,Providencia,9,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Providencia'},[{}],[],[],False,U12
826,108,La Florida,78,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
1169,107,Av. Departamental,79,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
1168,103,Providencia,11,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Providencia'},[{}],[],[],False,U12
34,117,(M) Vespucio Norte,11,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Vespucio Norte'},[{}],[],[],False,U1
1275,102,San Carlos Oriente,40,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
74,224,Ñuñoa,30,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Ñuñoa'},[{}],[],[],False,U2
34,117,(M) Vespucio Norte,12,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': '(M) Vespucio Norte'},[{}],[],[],False,U1
68,212,Mall Costanera Center,43,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Mall Costanera Center'},[{}],[],[],False,U2
765,329,Mall Florida Center,61,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Florida Center'},[{}],[],[],False,U3
1169,107,Av. Departamental,80,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
1168,103,Providencia,12,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Providencia'},[{}],[],[],False,U12
1275,102,San Carlos Oriente,41,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
627,H14,Mall Florida Center,34,#00A77E,"{'nombre': 'Buses Vule S.A.', 'color': '#00A77E'}",{'destino': 'Mall Florida Center'},[{}],[],[],False,U3
826,108,La Florida,79,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
74,224,Ñuñoa,31,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Ñuñoa'},[{}],[],[],False,U2
826,108,La Florida,80,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
1275,102,San Carlos Oriente,42,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
68,212,Mall Costanera Center,44,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Mall Costanera Center'},[{}],[],[],False,U2
1169,107,Av. Departamental,81,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
68,212,Mall Costanera Center,45,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Mall Costanera Center'},[{}],[],[],False,U2
74,224,Ñuñoa,32,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Ñuñoa'},[{}],[],[],False,U2
826,108,La Florida,81,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
1169,107,Av. Departamental,82,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
35,118,La Florida,67,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'La Florida'},[{}],[],[],False,U1
1275,102,San Carlos Oriente,43,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
1275,102,San Carlos Oriente,44,#cf152d,"{'nombre': 'Omega US2', 'color': '#cf152d'}",{'destino': 'San Carlos Oriente'},[{}],[],[],False,U9
74,224,Ñuñoa,33,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Ñuñoa'},[{}],[],[],False,U2
68,212,Mall Costanera Center,46,#0077bb,"{'nombre': 'SU-BUS Chile S.A.', 'color': '#0077bb'}",{'destino': 'Mall Costanera Center'},[{}],[],[],False,U2
35,118,La Florida,68,#00A1E4,"{'nombre': 'Inversiones Alsacia S.A.', 'color': '#00A1E4'}",{'destino': 'La Florida'},[{}],[],[],False,U1
826,108,La Florida,82,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
1169,107,Av. Departamental,83,#cf152d,"{'nombre': 'STU US5', 'color': '#cf152d'}",{'destino': 'Av. Departamental'},[{}],[],[],False,U12
826,108,La Florida,83,#F7941D,"{'nombre': 'Express de Santiago Uno S.A.', 'color': '#F7941D'}",{'destino': 'La Florida'},[{}],[],[],False,U4
