lat,long
-33.4968060005,-70.7196550001
-33.4974790005,-70.7183990001
-33.4978670005,-70.7176790001
-33.4979210005,-70.7175780001
-33.4986020005,-70.7162930001
-33.4987030005,-70.7161050001
-33.4988430005,-70.7158550001
-33.4990140005,-70.7155290001
-33.4992040005,-70.7151900001
-33.4993910005,-70.7148390001
-33.4995570005,-70.7145210001
-33.4997060005,-70.7142340001
-33.4998940005,-70.7138940001
-33.4999350005,-70.7138140001
-33.4999720005,-70.7137430001
-33.5000600005,-70.7135820001
-33.5001150005,-70.7134530001
-33.5001950005,-70.7132810001
-33.5002580005,-70.7131170001
-33.5003250005,-70.7129290001
-33.5003770005,-70.7126920001
-33.5004600005,-70.7122440001
-33.5005860005,-70.7115410001
-33.5006150005,-70.7113750001
-33.5007310005,-70.7106840001
-33.5008470005,-70.7101360001
-33.5008710005,-70.7100740001
-33.5014130005,-70.7103900001
-33.5019380005,-70.7106770001
-33.5025810005,-70.7110090001
-33.5031050005,-70.7112840001
-33.5034540005,-70.7114660001
-33.5037900005,-70.7116460001
-33.5038540005,-70.7116820001
-33.5041460005,-70.7118510001
-33.5041980005,-70.7119030001
-33.5043730005,-70.7120960001
-33.5044980005,-70.7122510001
-33.5048580005,-70.7127470001
-33.5051600005,-70.7131920001
-33.5055960005,-70.7138490001
-33.5053730005,-70.7150920001
-33.5053060005,-70.7155430001
-33.5052330005,-70.7159630001
-33.5051470005,-70.7164870001
-33.5050580005,-70.7170130001
-33.5049590005,-70.7176600001
-33.5049300005,-70.7178190001
-33.5048910005,-70.7180350001
-33.5048410005,-70.7183630001
-33.5047630005,-70.7188240001
-33.5046890005,-70.7192810001
-33.5046490005,-70.7195250001
-33.5046030005,-70.7198570001
-33.5045550005,-70.7201300001
-33.5044470005,-70.7207760001
-33.5043000005,-70.7216430001
-33.5042510005,-70.7219380001
-33.5041610005,-70.7225200001
-33.5041030005,-70.7228300001
-33.5038950005,-70.7241600001
-33.5038280005,-70.7244570001
-33.5038170005,-70.7245360001
-33.5037690005,-70.7247480001
-33.5037230005,-70.7248680001
-33.5036760005,-70.7250140001
-33.5036290005,-70.7250980001
-33.5034530005,-70.7254540001
-33.5031740005,-70.7260390001
-33.5031460005,-70.7261180001
-33.5030410005,-70.7265160001
-33.5027570005,-70.7275030001
-33.5026920005,-70.7277220001
-33.5025300005,-70.7282860001
-33.5024480005,-70.7285760001
-33.5023970005,-70.7287210001
-33.5023750005,-70.7287500001
-33.5023490005,-70.7287820001
-33.5023200005,-70.7288310001
-33.5022940005,-70.7289520001
-33.5023030005,-70.7290080001
-33.5022930005,-70.7291250001
-33.5022590005,-70.7296160001
-33.5022430005,-70.7300900001
-33.5022180005,-70.7305810001
-33.5021940005,-70.7310180001
-33.5021590005,-70.7315790001
-33.5021370005,-70.7318740001
-33.5021150005,-70.7321860001
-33.5020630005,-70.7326190001
-33.5020120005,-70.7330410001
-33.5019430005,-70.7334930001
-33.5018920005,-70.7339160001
-33.5018250005,-70.7343970001
-33.5024940005,-70.7346860001
-33.5027900005,-70.7348170001
-33.5031580005,-70.7349760001
-33.5035730005,-70.7351610001
-33.5036590005,-70.7351990001
-33.5038660005,-70.7352910001
-33.5040820005,-70.7353870001
